D3S4529	353,193,150,130,86
D17S1301	194,157,135,116,73
D5S2500	182,107,89,56,47
D2S441	270,117,53,44
D3S4529	353,193,150,130,86
D3S3053	273,111,84,49
D6S474	332,145,128,65
D9S1122	391,148,122,59
D10S1248	135,94,54
D20S482	133,116,52
D22S1045	99,63,41
D1S1677	131,60,51
D4S2408	98,40
D6S1017	105,44
D4S2364	35
